trimestre;annee
1_t_00;2000
2_t_00;2000
3_t_00;2000
4_t_00;2000
1_t_01;2001
2_t_01;2001
3_t_01;2001
4_t_01;2001
1_t_02;2002
2_t_02;2002
3_t_02;2002
4_t_02;2002
1_t_03;2003
2_t_03;2003
3_t_03;2003
4_t_03;2003
1_t_04;2004
2_t_04;2004
3_t_04;2004
4_t_04;2004
1_t_05;2005
2_t_05;2005
3_t_05;2005
4_t_05;2005
1_t_06;2006
2_t_06;2006
3_t_06;2006
4_t_06;2006
1_t_07;2007
2_t_07;2007
3_t_07;2007
4_t_07;2007
1_t_08;2008
2_t_08;2008
3_t_08;2008
4_t_08;2008
1_t_09;2009
2_t_09;2009
3_t_09;2009
4_t_09;2009
1_t_10;2010
2_t_10;2010
3_t_10;2010
4_t_10;2010
1_t_11;2011
2_t_11;2011
3_t_11;2011
4_t_11;2011
1_t_12;2012
2_t_12;2012
3_t_12;2012
4_t_12;2012
1_t_13;2013
2_t_13;2013
3_t_13;2013
4_t_13;2013
1_t_14;2014
2_t_14;2014
3_t_14;2014
4_t_14;2014
